Village,Latitude,Longitude
Sarai Tola,23.357445,80.741652
Pipradi,23.35078,80.940847
Pahariguda,23.560783,80.641725
Dhari,23.558245,80.670937
Tikariya,23.532817,80.8143
Kripahan,23.517502,80.67567
Saristal,23.513933,80.620263
Badoramana,23.500047,80.637075
Kripahan,23.498434,80.778178
Amaha,23.506563,80.697425
Chhulha,23.496347,80.603682
Baheraha,23.481582,80.779797
Bhaisadadar,23.465775,80.862194
Kusiyara,23.461811,80.62868
Thadhi,23.458589,80.662583
Bhamarda,23.456833,80.640546
Dholbaja,23.450943,80.677293
Kathai,23.450757,80.624254
Karimati,23.42017,80.852546
Khutesar,23.412209,80.816659
Uchehara,23.407674,80.705012
Chitauha,23.398245,80.96447
Dhonda Pondi,23.393896,80.941602
Bakeli,23.79791,80.922418
Barmani,23.790912,80.871234
Midara,23.799329,80.613643
Bamera,23.789356,80.976663
Nadawan,23.790349,80.727974
Godhan Kap,23.795627,80.71704
Sejahri,24.83707,80.851537
Ganeshpur,23.795528,80.661232
Loharwara,23.795784,80.699876
Tali Rohaniya,23.792674,80.767691
Salaiya Sihora,23.775555,80.79031
Ladhar,23.782195,80.692008
Mohni,23.783894,80.743835
Keolari,23.788621,80.835019
Behdi Khurd,23.789676,80.622552
Sandhi,23.778618,80.671031
Salaiya,23.780952,80.711676
Behdi Kalan,23.782634,80.632261
Badwahi,23.774239,80.957686
Bandari,23.772888,80.606753
Gabdi Nipaniya,23.777766,80.905217
Rohaniya,23.770695,80.635567
Bamhori,23.767659,80.654262
Bagaiha,23.761958,80.935028
Barela,23.765963,80.82572
Deori,23.764612,80.689018
Harrwah,23.753388,80.884994
Bamhani,23.750832,80.622275
Imaliya,23.76184,80.706145
Sutari,23.758967,80.733215
Dobha,23.753106,80.9889
Jaguwa,23.74051,80.862855
Karela,23.746467,80.840575
Salkhaniya,23.753549,80.909215
Banjar Barela,23.754254,80.822017
Khairbhar,23.747784,80.719349
Guruwahi,23.748071,81.026696
Sarai,23.751107,80.642041
Guda Kalan,23.751886,80.667503
Hadarhata,23.735321,80.813752
Garhpuri,23.719875,80.947533
Lakha Khera,23.742071,80.597849
Salaiya,23.746168,80.688105
Baran Mahgawan,23.729784,80.779983
Kharahta,23.742664,80.702912
Bargawan,23.737764,80.622806
Badagaon,23.736885,80.750015
Uchehara,23.767599,81.006456
Guda Khurd,23.740619,80.665228
